city;city_ascii;state_name;county_name;norte-sur
Acalanes Ridge;Acalanes Ridge;California;Contra Costa;norte
Acampo;Acampo;California;San Joaquin;norte
Adin;Adin;California;Modoc;norte
Ahwahnee;Ahwahnee;California;Madera;norte
Airport;Airport;California;Stanislaus;norte
Alameda;Alameda;California;Alameda;norte
Alamo;Alamo;California;Contra Costa;norte
Albany;Albany;California;Alameda;norte
Albion;Albion;California;Mendocino;norte
Alderpoint;Alderpoint;California;Humboldt;norte
Alhambra Valley;Alhambra Valley;California;Contra Costa;norte
Alleghany;Alleghany;California;Sierra;norte
Allendale;Allendale;California;Solano;norte
Allensworth;Allensworth;California;Tulare;norte
Alpaugh;Alpaugh;California;Tulare;norte
Alpine Village;Alpine Village;California;Alpine;norte
Alta;Alta;California;Placer;norte
Alta Sierra;Alta Sierra;California;Nevada;norte
Alto;Alto;California;Marin;norte
Alturas;Alturas;California;Modoc;norte
Alum Rock;Alum Rock;California;Santa Clara;norte
Amador City;Amador City;California;Amador;norte
American Canyon;American Canyon;California;Napa;norte
Amesti;Amesti;California;Santa Cruz;norte
Anchor Bay;Anchor Bay;California;Mendocino;norte
Anderson;Anderson;California;Shasta;norte
Angels;Angels;California;Calaveras;norte
Angwin;Angwin;California;Napa;norte
Antelope;Antelope;California;Sacramento;norte
Antioch;Antioch;California;Contra Costa;norte
Aptos;Aptos;California;Santa Cruz;norte
Aptos Hills-Larkin Valley;Aptos Hills-Larkin Valley;California;Santa Cruz;norte
Arbuckle;Arbuckle;California;Colusa;norte
Arcata;Arcata;California;Humboldt;norte
Arden-Arcade;Arden-Arcade;California;Sacramento;norte
Armona;Armona;California;Kings;norte
Arnold;Arnold;California;Calaveras;norte
Aromas;Aromas;California;San Benito;norte
Artois;Artois;California;Glenn;norte
Ashland;Ashland;California;Alameda;norte
Aspen Springs;Aspen Springs;California;Mono;norte
Atherton;Atherton;California;San Mateo;norte
Atwater;Atwater;California;Merced;norte
Auberry;Auberry;California;Fresno;norte
Auburn;Auburn;California;Placer;norte
Auburn Lake Trails;Auburn Lake Trails;California;El Dorado;norte
August;August;California;San Joaquin;norte
Avenal;Avenal;California;Kings;norte
Avery;Avery;California;Calaveras;norte
Ballico;Ballico;California;Merced;norte
Bangor;Bangor;California;Butte;norte
Bass Lake;Bass Lake;California;Madera;norte
Bay Point;Bay Point;California;Contra Costa;norte
Bayview;Bayview;California;Humboldt;norte
Beale Afb;Beale Afb;California;Yuba;norte
Bear Creek;Bear Creek;California;Merced;norte
Bear Valley;Bear Valley;California;Mariposa;norte
Beckwourth;Beckwourth;California;Plumas;norte
Bella Vista;Bella Vista;California;Shasta;norte
Belmont;Belmont;California;San Mateo;norte
Belvedere;Belvedere;California;Marin;norte
Ben Lomond;Ben Lomond;California;Santa Cruz;norte
Benbow;Benbow;California;Humboldt;norte
Bend;Bend;California;Tehama;norte
Benicia;Benicia;California;Solano;norte
Benton;Benton;California;Mono;norte
Berkeley;Berkeley;California;Alameda;norte
Berry Creek;Berry Creek;California;Butte;norte
Bertsch-Oceanview;Bertsch-Oceanview;California;Del Norte;norte
Bethel Island;Bethel Island;California;Contra Costa;norte
Bieber;Bieber;California;Lassen;norte
Big Bend;Big Bend;California;Shasta;norte
Big Creek;Big Creek;California;Fresno;norte
Big Lagoon;Big Lagoon;California;Humboldt;norte
Big Pine;Big Pine;California;Inyo;norte
Biggs;Biggs;California;Butte;norte
Biola;Biola;California;Fresno;norte
Bishop;Bishop;California;Inyo;norte
Black Point-Green Point;Black Point-Green Point;California;Marin;norte
Blackhawk;Blackhawk;California;Contra Costa;norte
Blairsden;Blairsden;California;Plumas;norte
Bloomfield;Bloomfield;California;Sonoma;norte
Blue Lake;Blue Lake;California;Humboldt;norte
Bodega;Bodega;California;Sonoma;norte
Bodega Bay;Bodega Bay;California;Sonoma;norte
Bolinas;Bolinas;California;Marin;norte
Bonny Doon;Bonny Doon;California;Santa Cruz;norte
Boonville;Boonville;California;Mendocino;norte
Bootjack;Bootjack;California;Mariposa;norte
Boronda;Boronda;California;Monterey;norte
Boulder Creek;Boulder Creek;California;Santa Cruz;norte
Bowles;Bowles;California;Fresno;norte
Boyes Hot Springs;Boyes Hot Springs;California;Sonoma;norte
Bradley;Bradley;California;Monterey;norte
Brentwood;Brentwood;California;Contra Costa;norte
Bret Harte;Bret Harte;California;Stanislaus;norte
Bridgeport;Bridgeport;California;Mono;norte
Brisbane;Brisbane;California;San Mateo;norte
Broadmoor;Broadmoor;California;San Mateo;norte
Brookdale;Brookdale;California;Santa Cruz;norte
Brooktrails;Brooktrails;California;Mendocino;norte
Buck Meadows;Buck Meadows;California;Mariposa;norte
Buckhorn;Buckhorn;California;Amador;norte
Buena Vista;Buena Vista;California;Amador;norte
Burlingame;Burlingame;California;San Mateo;norte
Burney;Burney;California;Shasta;norte
Burnt Ranch;Burnt Ranch;California;Trinity;norte
Butte Creek Canyon;Butte Creek Canyon;California;Butte;norte
Butte Meadows;Butte Meadows;California;Butte;norte
Butte Valley;Butte Valley;California;Butte;norte
Byron;Byron;California;Contra Costa;norte
Bystrom;Bystrom;California;Stanislaus;norte
California Hot Springs;California Hot Springs;California;Tulare;norte
California Pines;California Pines;California;Modoc;norte
Calistoga;Calistoga;California;Napa;norte
Calpella;Calpella;California;Mendocino;norte
Calpine;Calpine;California;Sierra;norte
Calwa;Calwa;California;Fresno;norte
Camanche North Shore;Camanche North Shore;California;Amador;norte
Camanche Village;Camanche Village;California;Amador;norte
Cambrian Park;Cambrian Park;California;Santa Clara;norte
Cameron Park;Cameron Park;California;El Dorado;norte
Camino;Camino;California;El Dorado;norte
Camino Tassajara;Camino Tassajara;California;Contra Costa;norte
Campbell;Campbell;California;Santa Clara;norte
Camptonville;Camptonville;California;Yuba;norte
Canby;Canby;California;Modoc;norte
Cantua Creek;Cantua Creek;California;Fresno;norte
Capitola;Capitola;California;Santa Cruz;norte
Carmel Valley Village;Carmel Valley Village;California;Monterey;norte
Carmel-by-the-Sea;Carmel-by-the-Sea;California;Monterey;norte
Carmichael;Carmichael;California;Sacramento;norte
Carnelian Bay;Carnelian Bay;California;Placer;norte
Carrick;Carrick;California;Siskiyou;norte
Cartago;Cartago;California;Inyo;norte
Caruthers;Caruthers;California;Fresno;norte
Caspar;Caspar;California;Mendocino;norte
Cassel;Cassel;California;Shasta;norte
Castle Hill;Castle Hill;California;Contra Costa;norte
Castro Valley;Castro Valley;California;Alameda;norte
Castroville;Castroville;California;Monterey;norte
Catheys Valley;Catheys Valley;California;Mariposa;norte
Cazadero;Cazadero;California;Sonoma;norte
Cedar Ridge;Cedar Ridge;California;Tuolumne;norte
Cedarville;Cedarville;California;Modoc;norte
Centerville;Centerville;California;Fresno;norte
Ceres;Ceres;California;Stanislaus;norte
Chalfant;Chalfant;California;Mono;norte
Challenge-Brownsville;Challenge-Brownsville;California;Yuba;norte
Cherokee;Cherokee;California;Butte;norte
Cherryland;Cherryland;California;Alameda;norte
Chester;Chester;California;Plumas;norte
Chico;Chico;California;Butte;norte
Chilcoot-Vinton;Chilcoot-Vinton;California;Plumas;norte
Chinese Camp;Chinese Camp;California;Tuolumne;norte
Chowchilla;Chowchilla;California;Madera;norte
Chualar;Chualar;California;Monterey;norte
Citrus Heights;Citrus Heights;California;Sacramento;norte
Clarksburg;Clarksburg;California;Yolo;norte
Clay;Clay;California;Sacramento;norte
Clayton;Clayton;California;Contra Costa;norte
Clear Creek;Clear Creek;California;Lassen;norte
Clearlake;Clearlake;California;Lake;norte
Clearlake Oaks;Clearlake Oaks;California;Lake;norte
Clearlake Riviera;Clearlake Riviera;California;Lake;norte
Cleone;Cleone;California;Mendocino;norte
Clio;Clio;California;Plumas;norte
Clipper Mills;Clipper Mills;California;Butte;norte
Cloverdale;Cloverdale;California;Sonoma;norte
Clovis;Clovis;California;Fresno;norte
Clyde;Clyde;California;Contra Costa;norte
Coalinga;Coalinga;California;Fresno;norte
Coarsegold;Coarsegold;California;Madera;norte
Cobb;Cobb;California;Lake;norte
Coffee Creek;Coffee Creek;California;Trinity;norte
Cohasset;Cohasset;California;Butte;norte
Cold Springs;Cold Springs;California;El Dorado;norte
Coleville;Coleville;California;Mono;norte
Colfax;Colfax;California;Placer;norte
College City;College City;California;Colusa;norte
Collierville;Collierville;California;San Joaquin;norte
Colma;Colma;California;San Mateo;norte
Coloma;Coloma;California;El Dorado;norte
